text,classification 1,classification 2
"""Bai joke lang na <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"" 



Gago??? maliban sa mukha mo, ano pang joke mo????? <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>",Negative statement with bullying intentions,Bully
Gago badtrip nga yon pwedeng pwede na yon sampalin e,Negative statement w/o bullying intentions,Not bully
@denboyyy @jakedelda @denapelsss @restang06 @notlarasudario Hahahaha gago,Negative statement w/o bullying intentions,Not bully
Tangina feeling ko dito nagsimulang ma-fall si Belle. Hahaha gago https://t.co/PTPjNdRdkL,Negative statement w/o bullying intentions,Not bully
Tangina feeling ko dito nagsimulang ma-fall si Belle. Hahaha gago orgasm siya ih https://t.co/mYx5zZA7J4,Negative statement w/o bullying intentions,Not bully
yawaa sa gago oy sala nimo ngano naka gawas ang iro unya kami pasanginlan!? tangama,Negative statement w/o bullying intentions,Not bully
WAHHAAHHAHA GAGO https://t.co/YZciZnCJiS,Negative statement w/o bullying intentions,Not bully
"Alpha x Omega<ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+2764>

Tadaima, Okaeri...

Love it! Manga...

#omegaverse #mangago",Neutral statement,Not bully
akala niya nakakatawa. mukha siyang gago ahahahahaha,Negative statement with bullying intentions,Bully
Gago ang pogi ni L <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0093>,Neutral statement,Not bully
Gago uminom pala <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
gago gusto ko mahpunta bukas kaso natatakot ako!!?!!,Negative statement w/o bullying intentions,Not bully
Gago talaga si Vice hahahahaha,Negative statement w/o bullying intentions,Not bully
"Kung sino pa yung seryoso, sya pa yung madalas nagagago.",Negative statement w/o bullying intentions,Not bully
Gago hahahaha https://t.co/G8qvsw1QpO,Negative statement w/o bullying intentions,Not bully
Hindi ko pag gagoha kay gago na nga daad ko <U+263A><U+FE0F> dont me,Negative statement with bullying intentions,Bully
Hindi ko pag gagoha kay gago na nga daad ko <U+263A><U+FE0F> dont me po <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
@2ez4rchiezyy Gago kaya nga wala magawa eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
"@yannenatividad galing, yung maganda lang talaga siya. Wait gago, may stolen ako sayo damiiii hehe",Neutral statement,Not bully
Gago ka na dean pila ray pg sign wala ray 10 seconds pabalik balikon jd nmo ang tao? Letse ka.,Negative statement with bullying intentions,Bully
Ang gago talaga neto ni berna eh. Naiiyak na ko. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Negative statement w/o bullying intentions,Not bully
@krisberry23 Gago di ko bet yung katabi ko. May isang guy pa sa kabilang table nagcheecheers sakin kaso hilo na ko? https://t.co/NOINsAGTU2,Negative statement with bullying intentions,Bully
gago magsasama na si Kit at Rose. Kasal na sunod niyan. Huhuhu <U+2764><U+2764><U+2764><U+2764>,Negative statement w/o bullying intentions,Not bully
parang gago hahahahaha lol,Negative statement w/o bullying intentions,Not bully
Gago gusto ko kunin lalamunan ni kz tandingan HAHAHAAHAH,Negative statement w/o bullying intentions,Not bully
@MamshieRedge gago isang bala ka lang,Negative statement with bullying intentions,Bully
Parang gago lang yung sasabihin sayo na mahal ka nya pero hindi naman kayang panindigan.,Negative statement w/o bullying intentions,Not bully
wag mo nalang ako kausapin gago wala ako sa mood,Negative statement with bullying intentions,Bully
parang gago lang <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
Tanqinang kausap yon paka gago eh,Negative statement with bullying intentions,Bully
May namamato sa bahay mga tarantado,Negative statement with bullying intentions,Bully
"Yunno, tarantado ka ba. Matulog ka na.",Negative statement with bullying intentions,Bully
"@MaramingPancit Mas mabuti pang lantarang tarantado 'yung tao kaysa nagpapanggap na mga madre at pari, e. Maria Cla? https://t.co/h5uaupG4gy",Negative statement with bullying intentions,Bully
Gusto mo lang mapansin. Tarantado.,Negative statement with bullying intentions,Bully
Tarantado https://t.co/lzYv9prcUz,Negative statement with bullying intentions,Bully
"Me: ano ulam?

Lolo: aba ayan lagi bungad mo pagkauwi ka ah

Me: osige, ilang gatang ung kanin?

Lolo: tarantado ka talagang bata ka 



<ed><U+00A0><U+00BD><ed><U+00B8><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Negative statement with bullying intentions,Bully
ReachYourGoal MIHO,Neutral statement,Not bully
Charrrr <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
https://t.co/PHdX1GvoA7,Neutral statement,Not bully
Malibiy nga ang El Nido,Neutral statement,Not bully
Pabebe,Negative statement w/o bullying intentions,Not bully
ANO NA NANGYAYARE SA MUNDO?PURO NA GERA,Negative statement w/o bullying intentions,Not bully
Babe time 'cos summer class no more. Na miss ko to #Disipulo <ed><U+00A0><U+00BD><ed><U+00B1><U+00AB><ed><U+00A0><U+00BD><ed><U+00B1><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00B9><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> @ Starbucks Philippines https://t.co/PXRN724LvD,Neutral statement,Not bully
"dream on, whale https://t.co/v4qUlh7NNG",Neutral statement,Not bully
Magbuot diay ka KJ jud baa <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>,Neutral statement,Not bully
"KISSMARC ForASAPCanada



'Enough, enough,' and die. That thing you speak of,",Neutral statement,Not bully
Grabe yung ngiti niya kanina. Nakakagaan ng loob <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>,Neutral statement,Not bully
Play with my hair instead of my feelings.,Neutral statement,Not bully
I'm at Adoration Chapel https://t.co/CO5ArGHNXn,Neutral statement,Not bully
im gonna deactivate on nestival i can't take this SHIT i'm just gonna cry,Neutral statement,Not bully
Kare-kare burrito is lifest,Neutral statement,Not bully
na miss ka na nga ayaw mo pa hahahays iba rin hahahaha,Neutral statement,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/hPMPHywsEX,Neutral statement,Not bully
I'm at Mr. Sam Gyup Sal https://t.co/xykHXoCV0n,Neutral statement,Not bully
Wow @hellobangsie https://t.co/RN1PXf3FBo,Neutral statement,Not bully
Init nanaman tengne nemen,Negative statement w/o bullying intentions,Not bully
<ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB> https://t.co/vAVq50bR66,Neutral statement,Not bully
Melon <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement with bullying intentions,Bully
Nagkalat yung mga super magagaling sa volleyball after Rebisco-Hisamitsu match. <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>,Neutral statement,Not bully
Home! (@ My Crib @ Makati City) https://t.co/I05qf0SsNS,Neutral statement,Not bully
"magandang gabi sailors



SanaMAYulit MuliMARVOREE",Neutral statement,Not bully
"After all these time, i'm still into you.~",Neutral statement,Not bully
#DTBYFarewell happy weeksary again malapit na mag100 thank you Lord,Neutral statement,Not bully
"I'm at Wells Fargo Centre in Taguig, Philippines https://t.co/Egzfwhzi1P",Neutral statement,Not bully
"One of the happiest moments in your life is when you find the courage to accept what you can?t change.

#ALDUB97thWeeksary

#DTBYFarewell",Neutral statement,Not bully
Pag naghihiling ako sa sky nahihiling ko si duwang ilaw kang Kaogma tapos garo tig aapod ako!,Neutral statement,Not bully
"How was your life so far? 

Me doing great.",Neutral statement,Not bully
Wala talaga ko sa mood ngayon. <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>,Negative statement w/o bullying intentions,Not bully
#DELETE<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BE><ed><U+00B4><U+0095>,Neutral statement,Not bully
Robinsons Galleria trippin #altercebu,Neutral statement,Not bully
Cagbalete nanaman sa Saturday<ed><U+00A0><U+00BC><ed><U+00BF><U+009D>,Neutral statement,Not bully
repulsion &amp; attraction,Neutral statement,Not bully
Deleting all. Including social media,Neutral statement,Not bully
Malapit na kami itakwil ng buong ReSA <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Nakakahiya kami <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Negative statement w/o bullying intentions,Not bully
When my cousin just saw what I did to her phone Yesterday smh <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> @joannacalleja https://t.co/q5wYk8TO0p,Neutral statement,Not bully
bolbi from jimmy neutron,Neutral statement,Not bully
Wish Mom is here <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
Lagi nalang ganito. Nakakasawa na nakakatamad ung life.<ed><U+00A0><U+00BD><ed><U+00B8><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>,Neutral statement,Not bully
Exercise pa more. @ Pueblo Golf Estates https://t.co/LnDduQKN2S,Neutral statement,Not bully
"nanaginip ako kanina, nakalimutan ko daw sya sa mall hahahahahahha!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Neutral statement,Not bully
@TalkNText @ElisseDefenders Thankyouuuu TNT dahil napili niyo ako .,Neutral statement,Not bully
@kenramosc @heyitsed_ balita lang di tunay,Neutral statement,Not bully
<U+6CA1><U+4EC0><U+4E48><U+5FC3><U+60C5><U+4E0A><U+73ED> https://t.co/L51Ka084ro,Neutral statement,Not bully
the balance of power becomes dangerously tilted towards the dominance of the latter. This erodes the system of checks and balances entirely.,Negative statement w/o bullying intentions,Not bully
Who has nudes?,Neutral statement,Not bully
YAYYYYYYYYYYYYYY !!!1!1!! https://t.co/Vcj62y5VpR,Neutral statement,Not bully
Ang neggy ko na lalo. Tsk,Negative statement w/o bullying intentions,Not bully
Fight for my way <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>,Neutral statement,Not bully
@ellejls_ @rasibelle Oo napaka niyooo iniwan niyo ko <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Negative statement w/o bullying intentions,Not bully
Payat na lagi ko <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> anorexic na lagi ko tanawun <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> di na lagi ko sexy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> gamay ug totoy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> gamay ug lobot <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> stick <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> lagi di na lagi ko sexy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>,Neutral statement,Not bully
"Helloooooo

#FlightToLoveGASWIS",Neutral statement,Not bully
Andaming lugar kung san pwede umihi aso namin dun pa kung san nag chacharge phone ko. Boset!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>,Negative statement w/o bullying intentions,Not bully
Konting mali lang ipapahiya niyo hays,Negative statement w/o bullying intentions,Not bully
pers tym coe po sa hauz nio https://t.co/GFJ38sxUoC,Neutral statement,Not bully
i feel like im outta my mind <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><U+200D><U+2640><U+FE0F>,Neutral statement,Not bully
"ikaaaaw ang panaginip, palaging nasa isipppp



gustong gusto talaga 'tong ost na 'tooo so much feeeels",Neutral statement,Not bully
University of the Philippines is one of my dream school. <U+2764> @ University of the Philippines https://t.co/Xew4iNWHdA,Neutral statement,Not bully
both happy but it ended that i'm happy and you're not.,Neutral statement,Not bully
"Night enrollment is real <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4><ed><U+00A0><U+00BD><ed><U+00B8><U+00B4> (@ National University - @nationaluphil in Manila, Metro Manila) https://t.co/cbOHAL3TXq",Neutral statement,Not bully
Night time job <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>,Neutral statement,Not bully
There's nothing wrong with the martial law . Better to understand what its all about .,Neutral statement,Not bully
"KISSMARC ForASAPCanada



'Fair sir, you spit on me on Wednesday last,",Neutral statement,Not bully
Oh MayNer fans anu mssbi nyo dto?! Por d lab prin?! Asan n kau?! Di pgttanggol c Maymay?! Hanuna?!<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/OeuBaHMjAO,Neutral statement,Not bully
slay<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https://t.co/Up2lyOfU9k,Neutral statement,Not bully
I can't believe,Neutral statement,Not bully
Ang hirap mag desisyon,Neutral statement,Not bully
Finally watching Moana <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> I'm so late hahaha,Neutral statement,Not bully
Kabaliwans with sissy<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0093> https://t.co/8xPFpnv9ag,Neutral statement,Not bully
"""Striktong Parental Advisory"" -alem <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Neutral statement,Not bully
"One of the boys<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

.

.

.

#gradesix #dahlia #reunion #summer #swimming @ Hacienda Antonio https://t.co/IgIpyI7k4L",Neutral statement,Not bully
Behave si kiara,Neutral statement,Not bully
Kapoya lagi naay manghod na sipat oy<ed><U+00A0><U+00BE><ed><U+00B4><U+00A4>,Neutral statement,Not bully
Wala kang magagawa kundi alagaan sarili mo <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
"The best way to cheer yourself up is to try to cheer someone else up.

#ALDUB97thWeeksary

#DTBYFarewell",Neutral statement,Not bully
So un ata ung pinakamasakit na nasabi sakin!,Negative statement w/o bullying intentions,Not bully
gawa gawa kayo kwento ._.,Negative statement with bullying intentions,Bully
"Birds singing in a sycamore tree,

dream a little dream of me ?",Neutral statement,Not bully
Halaa ang cute ng squirrel HAHAHAHHAHAHAH <U+2665>,Neutral statement,Not bully
pag kasama ko si jordan nagiging cheat day ko haysssss,Neutral statement,Not bully
"I forgot the name of this piece. <ed><U+00A0><U+00BD><ed><U+00B8><U+0081> But, it's one I always look at. @? https://t.co/K2Mz0X6RCW",Neutral statement,Not bully
@covetousjurist I'm stuck at home fak,Negative statement w/o bullying intentions,Not bully
"@Sheendyrella Ganyan talaga ang buhay miss, walang permanent hahahaha",Neutral statement,Not bully
muka macam karipap pun harini ada org mengurat!? Kiranya nda aku mengarati ia bakurapak brunei ih <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
"Thanks Ma, hahah sa pag sundo :) at sa fries <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",Neutral statement,Not bully
Lintik na pag ibig,Negative statement w/o bullying intentions,Not bully
#acityunited https://t.co/GvX7VRTcES,Neutral statement,Not bully
Merry christmas panget<ed><U+00A0><U+00BC><ed><U+00BE><U+0084> ganto yung pag-asa mong tumangkad oh:<ed><U+00A0><U+00BD><ed><U+00B1><U+008C> HAHAHAHAH stay kulot @mscaidieee https://t.co/1v97YhufJH,Neutral statement,Not bully
Before duty <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>// @ Burger King Connecticut Greenhills https://t.co/imXd4mXQ0G,Neutral statement,Not bully
"nganung kung kinsa pa tung taong makapalipay saimog maayo, sila pd tung tao na posibleng makasakit saimo'g taman taman? <U+2639><U+FE0F>",Neutral statement,Not bully
Korean BBQ Time. <ed><U+00A0><U+00BD><ed><U+00B8><U+009B> @ Sariwon Korean Barbecue <U+C0AC><U+B9AC><U+C6D0> <U+BD88><U+ACE0><U+AE30> https://t.co/IS4R1aW3Uo,Neutral statement,Not bully
